OBJECTID,DATA_DATE,ROUTE_COMM,HTRIS_ID,ROUTE_ALIA,START_LABE,END_LABEL,ADT,ADT_QUALIT,PERCENT_4_,PERCENT_BU,PERCENT_TR,PERCENT__1,PERCENT__2,PERCENT__3,CLASS_QUAL,K_FACTOR,K_FACTOR_Q,DIRECTION_,AAWDT,AAWDT_QUAL,LOC_COMP_D,ROUTE_FROM,FROM_JURIS,ROUTE_TO_M,TO_JURISDI,PEAK_SINGL,PEAK_COMBI,DATA_CUSTO,METADATA_U,ROUTE_NAME,EVENT_SOUR,EVENT_LOCA,EVENT_COMP,MAXIMUMSCA,ROUTE_CO_1,DATA_YEARO,Shape_STLength__,Shape_Length
11,2012,SC-670E (Franklin County),  3300670,33-670 Burnt Chimney Rd,SR 122 Booker T Washington,33-868 Kingston Rd,3200,G,97.986,0.233,0.671,0.365,0.744,0,C,0.0982,F,0.724,3300,G,Bidirectional,0,Franklin County,1.19,Franklin County,0.0275,0.0275,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00670EB,405853,1,1,200000,SC-670E (Franklin County) - ADT 3200,2012,2403.14926406,0.0205819572972218
12,16-SEP-09,SC-1682N (Roanoke County),  8001682,80-1682 Spring Lawn Ave,80-907 Ranchcrest Dr,80-613 Merriman Rd,300,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.2,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01682NB,766850,1,1,24000,SC-1682N (Roanoke County) - ADT 300,2009,430.3312291,0.00313272489066387
13,20-JAN-11,SC-1450E (Montgomery County),  6001450,60-1450 Crosscreek Dr,Dead End,60-758 Houchins Rd,890,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Montgomery County,0.26,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC01450EB,794986,1,1,48000,SC-1450E (Montgomery County) - ADT 890,2011,528.05870669,0.00462324835410267
14,2012,US-220S,  US00220S,US 220 Franklin Rd,Blue Ridge Parkway,SCL Roanoke,29000,F,86.963,0.769,0.735,0.937,9.884,0.718,F,0.0842,F,0.6302,30000,F,Master Non-Prime,57.78,Roanoke County,58.17,Roanoke County,0.14567,0.45973,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00220SB,20492,1,2,1600000,US-220S - ADT 29000,2012,701.89478594,0.00539232318369495
15,06-APR-07,SC-755N (Botetourt County),  1100755,11-755 Rader Rd,Dead End,11-670 Trinity Rd,4,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.13,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00755NB,707138,1,1,24000,SC-755N (Botetourt County) - ADT 4,2007,172.31601484,0.00133986438846892
16,09-JUL-08,SC-1066E (Franklin County),  3301066,33-1066 Westwood Lane,Cul-de-Sac,33-684 Boones Mill Rd,40,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.55,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01066EB,792382,1,1,48000,SC-1066E (Franklin County) - ADT 40,2008,1118.7760366,0.0091304004552514
17,02-NOV-11,SC-660N (Franklin County),  3300660,33-660 Mount Zion Rd,33-920 Morgans Fork Rd,33-647 Kay Fork,40,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,1.53,Franklin County,1.82,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00660NB,738284,1,1,48000,SC-660N (Franklin County) - ADT 40,2011,751.24133266,0.00663882643079902
18,03-JUN-09,SC-1514E (Roanoke County),  8001514,80-1514 Sweetenberg Lane,80-626 Thirlane Rd,Dead End,10,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.1,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01514EB,766580,1,1,24000,SC-1514E (Roanoke County) - ADT 10,2009,217.16141439,0.00192010476898123
19,20-NOV-06,SC-875E (Roanoke County),  8000875,80-875 South Mountain Dr,80-904 Starkey Rd,Dead End,480,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.27,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00875EB,765976,1,1,24000,SC-875E (Roanoke County) - ADT 480,2006,541.36225351,0.00474580380325763
20,19-MAY-10,SC-1124E (Botetourt County),  1101124,11-1124 Charleston Place,Cul-de-Sac,11-1123 Magnolia Lane,180,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.1,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC01124EB,787656,1,1,48000,SC-1124E (Botetourt County) - ADT 180,2010,171.63223547,0.00148444336582028
21,2012,UR-8048E (City of Roanoke), 12808048,128-8048 Riverdale Rd,Bennington St,ECL Roanoke,1500,F,96.903,0.425,1.013,0.524,1.136,0,F,0.1047,F,0.6592,1600,F,Bidirectional,0,City of Roanoke,0.78,City of Roanoke,0.00226,0.00051,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA128UR08048EB,666529,1,1,200000,UR-8048E (City of Roanoke) - ADT 1500,2012,1561.52998267,0.0135093573708669
22,2012,SC-807E (Floyd County),  3100807,31-807 Canning Factory Rd,"31-720 W, Via Dr",SR 8 Parkway Lane South,370,G,94.458,0.378,1.134,2.645,1.386,0,C,0.104,F,0.5641,390,G,Bidirectional,1.52,Floyd County,2.52,Floyd County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA031SC00807EB,405786,1,1,200000,SC-807E (Floyd County) - ADT 370,2012,1853.22899181,0.0161780657278493
23,18-APR-07,SC-1147N (Botetourt County),  1101147,11-1147 Old Barn Rd,11-1149 Homestead Circle,11-1145 Sommersley Lane,120,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.06,Botetourt County,0.23,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC01147NB,783542,1,1,48000,SC-1147N (Botetourt County) - ADT 120,2007,357.11178535,0.00298437869363049
24,06-JUN-08,SC-905E (Franklin County),  3300905,33-905 Oak Ridge Rd,Dead End,33-1111 Standiford Rd,60,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.15,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00905EB,738690,1,1,48000,SC-905E (Franklin County) - ADT 60,2008,166.2145951,0.00147058936405416
25,13-NOV-06,SC-937E (Roanoke County),  8000937,80-937 Whistler Dr,80-696 Apple Grove Lane,80-752,80,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,1.13,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00937EB,766042,1,1,48000,SC-937E (Roanoke County) - ADT 80,2006,2199.7957806,0.0180871790212678
26,16-JUL-07,SC-1140N (Bedford County),  0901140,09-1140 Turnpike Rd,Dead End,"US 460, W Lynchburg Salem Tpke",2900,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,0.07,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC01140NB,706257,1,1,48000,SC-1140N (Bedford County) - ADT 2900,2007,242.63962248,0.00182756853626139
27,13-APR-05,SC-694N (Craig County),  2200694,22-694,22-689,Dead End,140,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Craig County,0.61,Craig County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA022SC00694NB,719846,1,1,48000,SC-694N (Craig County) - ADT 140,2005,1251.98781837,0.00988578692079226
28,17-JUN-10,SC-1384N (Bedford County),  0901384,09-1384 Cuddington Lane,Dead End,09-1383 Shadow Peak Rd,640,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,0.47,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC01384NB,785729,1,1,24000,SC-1384N (Bedford County) - ADT 640,2010,969.81289183,0.00768502607927546
29,2012,SC-681E (Floyd County),  3100681,31-681 Franklin Pike,US 221 Floyd Highway North,31-860 Shooting Creek Rd,1500,G,93.117,0.467,0.872,4.049,1.526,0.031,C,0.1001,F,0.5924,1500,G,Bidirectional,0,Floyd County,2.37,Floyd County,0,0.06006,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA031SC00681EB,405754,1,1,200000,SC-681E (Floyd County) - ADT 1500,2012,4781.53187889,0.041458857706076
30,11-JUN-08,SC-899N (Franklin County),  3300899,33-899 Potters Creek Rd,33-890 Snow Creek Rd,33-790 Potters Creek Rd,40,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,1.85,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00899NB,738683,1,1,48000,SC-899N (Franklin County) - ADT 40,2008,3500.88240732,0.0279452520586246
31,24-JUN-10,SC-1577N (Bedford County),  0901577,09-1577 Declaration Terrace,Cul-de-Sac,09-1576 Jefferson Woods Dr,210,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,0.13,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC01577NB,706565,1,1,24000,SC-1577N (Bedford County) - ADT 210,2010,275.22617062,0.00207749319260667
32,25-MAY-10,SC-689E (Bedford County),  0900689,09-689 Irving Rd,"US 460 W, W Lynchburg Salem Tpke",US 460 MID,240,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,2.3,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00689EB,705839,1,1,48000,SC-689E (Bedford County) - ADT 240,2010,4795.81333993,0.0406900847814396
33,21-DEC-07,SC-632N (Montgomery County),  6000632,60-632 Ambrose Dr,Dead End,60-633,60,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Montgomery County,0.5,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC00632NB,753899,1,1,48000,SC-632N (Montgomery County) - ADT 60,2007,1067.87660134,0.00846703745827513
34,19-MAY-10,SC-1003N (Botetourt County),  1101003,11-1003 2nd Ave,Dead End,11-1005 Snider Dr,30,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.07,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC01003NB,707256,1,1,24000,SC-1003N (Botetourt County) - ADT 30,2010,136.33124002,0.00113172631936947
35,03-APR-12,SC-1009E (Floyd County),  3101009,31-1009 Oak Hill Dr,ECL Floyd,31-9145 Floyd Elementary School,1300,N,0,0,0,0,0,0,X,0,X,0,0,N,Bidirectional,0.08,Floyd County,0.2,Floyd County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA031SC01009EB,785097,1,1,48000,SC-1009E (Floyd County) - ADT 1300,2012,127.68937923,0.0011203683754514
36,19-MAY-10,SC-1045E (Botetourt County),  1101045,11-1045 Westridge Dr,Cul-de-Sac,US 220 Roanoke Rd,180,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.2,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC01045EB,707312,1,1,48000,SC-1045E (Botetourt County) - ADT 180,2010,442.17285147,0.00375330312543835
37,23-SEP-09,SC-1753N (Roanoke County),  8001753,80-1753 Flamingo Dr,Dead End,80-1756 Barn Owl Circle,120,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.08,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01753NB,766938,1,1,24000,SC-1753N (Roanoke County) - ADT 120,2009,141.52089118,0.00122453308332273
38,13-APR-10,SC-600N (Botetourt County),  1100600,11-600 Breckinridge Mill Rd,11-665 Haymaker Town Rd,"11-666 E, Lees Gap Rd",110,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,7.17,Botetourt County,10.07,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00600NB,706826,1,1,48000,SC-600N (Botetourt County) - ADT 110,2010,5584.94104,0.0453260665843131
39,2012,UR-8015N (City of Roanoke), 12808015,128-8015 Tazewell Ave,"US 221 Williamson Rd; Gap",9th St,5100,F,98.234,0.135,1.225,0.216,0.189,0,C,0.1252,F,0.7393,5400,F,Bidirectional,0.6,City of Roanoke,1.14,City of Roanoke,0.10767,0.01753,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA128UR08015NB,666483,1,1,400000,UR-8015N (City of Roanoke) - ADT 5100,2012,1045.6842056,0.00925924179954938
40,26-AUG-09,SC-1943E (Roanoke County),  8001943,80-1943 Flintlock Rd,80-1946 Begin Loop,End Loop,47,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.05,Roanoke County,0.51,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01943EB,767200,1,1,24000,SC-1943E (Roanoke County) - ADT 47,2009,929.27979183,0.00778210255592443
41,24-JUL-09,SC-1389E (Roanoke County),  8001389,80-1389 Fairway View Trail,Cul-de-Sac,"80-1388 Fairway Estates Dr; Faiway Estates Dr",280,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.6,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01389EB,766504,1,1,24000,SC-1389E (Roanoke County) - ADT 280,2009,1114.66846842,0.00893706444895229
42,31-JUL-09,SC-1502E (Roanoke County),  8001502,80-1502 Cynthia Dr,80-1498 Spring Meadow Dr,"80-1501 Cynthia Dr; Lakeland Dr",420,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.19,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01502EB,766564,1,1,24000,SC-1502E (Roanoke County) - ADT 420,2009,499.29710515,0.00447149238609646
43,03-JAN-05,SC-1227E (Montgomery County),  6001227,60-1227 Nik Ryan Rd,60-1226 Crestwood Dr,60-1228 Nicholas Way,40,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Montgomery County,0.14,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC01227EB,786530,1,1,48000,SC-1227E (Montgomery County) - ADT 40,2005,276.81701436,0.00239044418554344
44,29-NOV-06,SC-828E (Roanoke County),  8000828,80-828,80-1119 Ingal Blvd,80-643 Daugherty Rd,2300,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.41,Roanoke County,0.57,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00828EB,765916,1,1,24000,SC-828E (Roanoke County) - ADT 2300,2006,343.1714773,0.00289168083204201
45,28-MAR-08,SC-678N (Floyd County),  3100678,31-678 Kelley School Rd,31-640 Franklin Pike,Blue Ridge Pkwy,20,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Floyd County,1.2,Floyd County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA031SC00678NB,737610,1,1,48000,SC-678N (Floyd County) - ADT 20,2008,2423.88824855,0.0187872909399012
46,08-JAN-08,SC-1435N (Montgomery County),  6001435,60-1435 Ridgeway Dr,60-644 Woodrow Rd,Dead End,270,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Montgomery County,0.3,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC01435NB,754305,1,1,48000,SC-1435N (Montgomery County) - ADT 270,2008,565.07569307,0.00481999644124342
47,02-JUL-07,SC-845N (Bedford County),  0900845,09-845 Claymont Dr,US 221 Forest Rd,Dead End,280,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,0.09,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00845NB,706099,1,1,24000,SC-845N (Bedford County) - ADT 280,2007,163.97946901,0.00135562542645662
48,14-MAY-08,SC-688N (Franklin County),  3300688,33-688 Landmark Rd,33-972 Landmark Rd,"33-678 Farmington Dr; Poteet Rd",930,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,1.92,Franklin County,4.12,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00688NB,738352,1,1,48000,SC-688N (Franklin County) - ADT 930,2008,4242.89549379,0.0346109524773593
49,20-SEP-06,SC-660E (Roanoke County),  8000660,80-660 Brookridge Rd,80-617 Pitzer Rd,80-617 Pitzer Rd,120,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,1.48,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00660EB,765671,1,1,48000,SC-660E (Roanoke County) - ADT 120,2006,2763.23158148,0.0216938826503276
50,29-NOV-06,SC-1194E (Roanoke County),  8001194,80-1194 Edgemont Circle,80-1019 Sunflower Dr,Cul-de-Sac,100,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.16,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01194EB,786736,1,1,24000,SC-1194E (Roanoke County) - ADT 100,2006,299.23306665,0.00234111055813266
51,2012,SC-694N (Roanoke County),  8000694,80-694 Twelve OClock Knob Rd,US 221 Bent Mountain Rd,80-1780 Poages Mill Dr,1200,F,95.87,2.065,1.032,1.032,0,0,F,0.114,F,0.7133,1200,F,Bidirectional,0,Roanoke County,0.65,Roanoke County,0.11172,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00694NB,300836,1,1,200000,SC-694N (Roanoke County) - ADT 1200,2012,1298.59829699,0.0103214268087471
52,29-JUL-09,SC-1339E (Roanoke County),  8001339,80-1339 Cantle Lane,80-1338 Pelham Dr,80-1316 Stoney Brook Dr,130,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.1,Roanoke County,0.35,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01339EB,766446,1,1,24000,SC-1339E (Roanoke County) - ADT 130,2009,517.98290377,0.00451626025538235
53,29-MAY-09,SC-1785N (Roanoke County),  8001785,80-1785 Brubaker Dr,80-1787 Northland Dr,80-1519 Willow Creek Dr,20,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.22,Roanoke County,0.38,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01785NB,766976,1,1,24000,SC-1785N (Roanoke County) - ADT 20,2009,317.72106868,0.00258139576467469
54,20-MAY-08,SC-649E (Franklin County),  3300649,33-649 School Board,33-1008 Bernard Rd,"SR 40 E, Franklin St",2500,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.21,Franklin County,0.84,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00649EB,738252,1,1,48000,SC-649E (Franklin County) - ADT 2500,2008,1285.10730383,0.0103808817693913
55,18-SEP-09,SC-1640N (Roanoke County),  8001640,80-1640 Pine Acres Lane,Dead End,80-613 Merriman Rd,150,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.2,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01640NB,766775,1,1,24000,SC-1640N (Roanoke County) - ADT 150,2009,408.32341804,0.00325535145690145
